Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly
41,58,Female,Hoodie,Clothing,22,Delaware,M,Cyan,Winter,4.7,Yes,Store Pickup,Yes,Yes,44,Debit Card,Bi-Weekly
42,38,Female,Scarf,Accessories,55,Kansas,L,Red,Summer,4.1,No,Express,No,No,3,Venmo,Quarterly
43,33,Female,Skirt,Clothing,95,Colorado,M,Purple,Spring,3.0,No,Free Shipping,No,No,50,PayPal,Annually
44,44,Female,Sneakers,Footwear,36,West Virginia,M,Orange,Winter,4.2,Yes,Store Pickup,No,No,35,Debit Card,Monthly
45,22,Male,Socks,Clothing,85,Missouri,XL,Red,Summer,2.6,Yes,Express,Yes,Yes,1,Cash,Every 3 Months
46,43,Male,Hat,Accessories,78,Arizona,M,Gray,Spring,2.6,Yes,2-Day Shipping,Yes,Yes,48,Bank Transfer,Annually
47,22,Female,Hat,Accessories,72,California,L,Charcoal,Spring,4.6,Yes,Store Pickup,No,No,9,Bank Transfer,Fortnightly
48,21,Male,Jacket,Outerwear,51,Idaho,M,Purple,Summer,4.2,No,Store Pickup,Yes,Yes,3,Credit Card,Weekly
49,61,Male,Skirt,Clothing,76,Mississippi,S,Green,Summer,4.4,No,Free Shipping,No,No,11,Credit Card,Every 3 Months
50,51,Male,Shirt,Clothing,49,New York,M,Maroon,Fall,3.9,No,Standard,No,No,30,Cash,Quarterly
51,21,Male,Hat,Accessories,36,Missouri,L,Orange,Fall,2.6,No,Free Shipping,No,No,13,Bank Transfer,Quarterly
52,68,Male,Dress,Clothing,42,Alabama,S,Yellow,Fall,4.1,Yes,Express,Yes,Yes,3,Credit Card,Quarterly
53,68,Male,Socks,Clothing,24,North Carolina,M,Yellow,Winter,3.9,No,Standard,No,No,26,Bank Transfer,Weekly
54,62,Male,Hat,Accessories,45,Nevada,S,Violet,Summer,3.4,Yes,Standard,No,No,1,Venmo,Quarterly
55,39,Male,Hoodie,Clothing,47,California,M,Maroon,Winter,2.7,Yes,Next Day Air,Yes,Yes,7,Credit Card,Every 3 Months
56,64,Male,Boots,Footwear,37,Iowa,M,Green,Fall,3.2,No,Free Shipping,No,No,39,Venmo,Fortnightly
57,61,Male,Shorts,Clothing,32,Florida,M,Gold,Summer,4.1,No,Standard,Yes,Yes,47,Bank Transfer,Weekly
58,66,Male,Scarf,Accessories,61,South Dakota,M,Orange,Spring,4.0,Yes,Next Day Air,No,No,45,Bank Transfer,Bi-Weekly
59,39,Male,Jewelry,Accessories,89,Rhode Island,L,Indigo,Summer,4.6,Yes,2-Day Shipping,Yes,Yes,36,Bank Transfer,Weekly
60,21,Male,Hoodie,Clothing,70,Maine,M,Purple,Spring,3.2,No,Store Pickup,No,No,26,Bank Transfer,Annually
61,37,Male,Jacket,Outerwear,66,Kentucky,M,Silver,Winter,3.8,No,2-Day Shipping,Yes,Yes,43,Credit Card,Fortnightly
62,27,Male,Shirt,Clothing,29,Maine,M,Maroon,Fall,3.1,No,Express,Yes,Yes,9,Credit Card,Every 3 Months
63,52,Male,Backpack,Accessories,68,Oregon,L,Teal,Spring,2.8,No,Express,No,No,34,PayPal,Quarterly
64,39,Male,Jeans,Clothing,91,Arkansas,L,Black,Fall,2.9,Yes,2-Day Shipping,No,No,19,Credit Card,Monthly
65,59,Male,Sandals,Footwear,59,Louisiana,M,Black,Fall,3.7,No,Express,Yes,Yes,25,Venmo,Fortnightly
66,31,Male,Scarf,Accessories,70,Nebraska,S,Silver,Summer,4.1,No,Standard,Yes,Yes,15,Debit Card,Fortnightly
67,44,Female,Hoodie,Clothing,57,South Carolina,L,Beige,Winter,2.6,No,Free Shipping,No,No,5,Credit Card,Weekly
68,30,Male,Blouse,Clothing,71,New York,L,Charcoal,Winter,3.1,No,Free Shipping,Yes,Yes,27,Credit Card,Quarterly
69,60,Male,Sandals,Footwear,39,Arkansas,XL,Purple,Spring,3.1,No,Free Shipping,No,No,46,Credit Card,Annually
70,35,Male,Sunglasses,Accessories,79,Illinois,XL,White,Fall,4.2,No,Free Shipping,Yes,Yes,49,PayPal,Every 3 Months
71,46,Male,Handbag,Accessories,60,Nevada,XL,Gray,Spring,3.1,Yes,Standard,Yes,Yes,23,Venmo,Fortnightly
72,57,Male,Gloves,Accessories,66,West Virginia,L,Gold,Fall,4.5,No,Next Day Air,No,No,25,Cash,Quarterly
73,35,Male,Shirt,Clothing,36,Illinois,S,Brown,Spring,2.9,No,Store Pickup,Yes,Yes,24,Venmo,Fortnightly
74,45,Male,Dress,Clothing,68,Montana,XL,Olive,Winter,3.9,No,2-Day Shipping,No,No,40,Venmo,Every 3 Months
75,47,Female,Blouse,Clothing,75,Oklahoma,M,Cyan,Winter,3.4,No,Next Day Air,Yes,Yes,18,Venmo,Monthly
76,19,Male,Jacket,Outerwear,57,Rhode Island,M,Beige,Summer,4.4,No,Next Day Air,No,No,46,Cash,Annually
77,45,Female,Blouse,Clothing,26,Ohio,M,Beige,Summer,3.1,No,2-Day Shipping,Yes,Yes,8,Bank Transfer,Fortnightly
78,68,Male,Scarf,Accessories,27,Idaho,L,Indigo,Spring,4.0,No,Standard,No,No,37,Bank Transfer,Bi-Weekly
79,65,Male,Dress,Clothing,93,Montana,L,Magenta,Summer,2.8,No,2-Day Shipping,Yes,Yes,18,Cash,Fortnightly
80,28,Male,Scarf,Accessories,21,Massachusetts,M,Teal,Fall,4.1,No,Store Pickup,No,No,9,Cash,Bi-Weekly
81,39,Female,Skirt,Clothing,100,Missouri,M,Black,Summer,4.5,No,Next Day Air,Yes,Yes,17,Bank Transfer,Fortnightly
82,42,Male,Coat,Outerwear,41,Illinois,M,Lavender,Spring,3.2,Yes,Free Shipping,No,No,21,Cash,Annually
83,34,Male,Handbag,Accessories,95,California,S,Yellow,Winter,3.2,Yes,Next Day Air,Yes,Yes,40,Cash,Annually
84,24,Male,Sunglasses,Accessories,36,Indiana,M,Black,Fall,3.4,No,Express,No,No,36,Credit Card,Weekly
85,28,Male,Belt,Accessories,78,Nebraska,M,Yellow,Spring,3.5,No,Store Pickup,No,No,5,Venmo,Weekly
86,36,Male,Sandals,Footwear,100,Illinois,M,Maroon,Winter,3.4,No,Express,No,No,25,Debit Card,Quarterly
87,56,Male,Coat,Outerwear,63,New Jersey,S,Teal,Summer,3.3,No,Express,No,No,17,Cash,Fortnightly
88,29,Male,Boots,Footwear,27,Vermont,L,Beige,Winter,4.2,No,Express,No,No,18,Venmo,Annually
89,58,Female,Scarf,Accessories,66,Alaska,L,Pink,Winter,3.0,No,Free Shipping,No,No,7,Bank Transfer,Every 3 Months
90,68,Female,Belt,Accessories,78,California,L,Orange,Summer,3.6,No,Express,No,No,14,Credit Card,Annually
91,54,Male,Sunglasses,Accessories,74,California,S,Green,Fall,3.8,No,Express,Yes,Yes,13,Cash,Fortnightly
92,61,Male,Pants,Clothing,74,Kansas,L,Beige,Winter,3.8,No,Next Day Air,Yes,Yes,39,Bank Transfer,Annually
93,70,Male,Hat,Accessories,35,Missouri,S,Pink,Fall,4.3,Yes,Next Day Air,Yes,Yes,45,Bank Transfer,Monthly
94,54,Male,Socks,Clothing,84,New York,M,Cyan,Winter,4.2,Yes,Free Shipping,Yes,Yes,37,Debit Card,Bi-Weekly
95,56,Female,Dress,Clothing,65,Colorado,M,Lavender,Spring,2.9,No,Next Day Air,No,No,8,PayPal,Bi-Weekly
96,62,Male,Gloves,Accessories,76,Indiana,S,Turquoise,Fall,3.4,Yes,Express,No,No,9,Credit Card,Annually
97,59,Male,Hat,Accessories,81,Mississippi,S,Turquoise,Spring,4.1,No,Express,Yes,Yes,9,PayPal,Monthly
98,58,Male,Sneakers,Footwear,48,West Virginia,S,Maroon,Fall,2.6,No,Express,Yes,Yes,5,Credit Card,Quarterly
99,32,Male,Sweater,Clothing,24,Indiana,M,Charcoal,Fall,2.8,No,2-Day Shipping,Yes,Yes,17,Cash,Bi-Weekly
100,57,Male,Jacket,Outerwear,96,South Carolina,L,Brown,Fall,4.1,No,Next Day Air,No,No,48,Venmo,Bi-Weekly
101,70,Female,Dress,Clothing,82,Arizona,L,Pink,Winter,4.7,No,Next Day Air,Yes,Yes,31,Cash,Weekly
102,56,Male,Dress,Clothing,21,New Hampshire,L,Teal,Summer,3.0,Yes,Next Day Air,Yes,Yes,49,Venmo,Fortnightly
103,41,Female,Coat,Outerwear,89,Oklahoma,L,Gold,Winter,4.9,No,Standard,Yes,Yes,15,Bank Transfer,Bi-Weekly
104,49,Female,Gloves,Accessories,87,Arizona,S,Teal,Spring,4.3,No,Store Pickup,No,No,26,Credit Card,Weekly
105,64,Female,Socks,Clothing,55,Kansas,M,Teal,Summer,2.7,No,Next Day Air,No,No,11,Cash,Every 3 Months
106,46,Female,Sweater,Clothing,32,South Dakota,S,Beige,Winter,4.2,Yes,Free Shipping,Yes,Yes,47,Bank Transfer,Annually
107,20,Female,Gloves,Accessories,75,Tennessee,L,Green,Fall,4.6,No,Next Day Air,Yes,Yes,5,Credit Card,Quarterly
108,55,Male,Blouse,Clothing,80,Kansas,S,Indigo,Fall,3.9,No,Next Day Air,Yes,Yes,8,PayPal,Monthly
109,70,Male,Jewelry,Accessories,46,Montana,M,Teal,Winter,4.8,No,Standard,No,No,46,Venmo,Monthly
110,61,Male,Dress,Clothing,28,Iowa,M,Yellow,Spring,3.3,No,Next Day Air,No,No,13,Venmo,Bi-Weekly
111,35,Male,Socks,Clothing,57,Alaska,L,Gray,Fall,4.4,Yes,Store Pickup,No,No,24,Venmo,Fortnightly
112,49,Male,Skirt,Clothing,73,Nevada,M,Gray,Spring,4.4,No,Express,No,No,2,Venmo,Fortnightly
113,50,Female,Handbag,Accessories,45,Nevada,M,Silver,Summer,3.0,No,Free Shipping,Yes,Yes,42,PayPal,Fortnightly
114,20,Female,Coat,Outerwear,28,Wyoming,M,Olive,Spring,4.8,No,Standard,No,No,20,Bank Transfer,Every 3 Months
115,33,Male,Shorts,Clothing,77,Nevada,M,Turquoise,Summer,3.8,No,Next Day Air,No,No,18,Bank Transfer,Annually
116,42,Female,Boots,Footwear,38,Utah,L,Beige,Winter,4.1,No,Free Shipping,No,No,6,Cash,Quarterly
117,58,Male,Gloves,Accessories,47,Missouri,M,Yellow,Summer,3.0,No,Express,Yes,Yes,30,Debit Card,Every 3 Months
118,21,Female,Backpack,Accessories,39,Colorado,M,Brown,Fall,4.0,Yes,Free Shipping,Yes,Yes,36,Cash,Every 3 Months
119,56,Male,Sweater,Clothing,77,Hawaii,M,Red,Fall,4.6,Yes,Free Shipping,No,No,8,PayPal,Monthly
120,31,Female,Boots,Footwear,56,Oregon,S,Olive,Spring,2.7,No,Store Pickup,No,No,39,Venmo,Annually
121,34,Male,Sweater,Clothing,47,Maine,L,Charcoal,Summer,4.0,No,Standard,Yes,Yes,45,Credit Card,Weekly
122,33,Male,Jeans,Clothing,29,Hawaii,L,Gray,Winter,3.1,No,Express,No,No,20,PayPal,Fortnightly
123,54,Male,Dress,Clothing,68,Tennessee,L,Silver,Fall,3.8,Yes,Store Pickup,No,No,2,Venmo,Every 3 Months
124,46,Male,Sneakers,Footwear,54,Wyoming,M,Charcoal,Winter,3.8,Yes,Free Shipping,No,No,20,Debit Card,Weekly
125,51,Male,Backpack,Accessories,48,Nebraska,M,Green,Summer,3.7,No,Standard,No,No,23,Bank Transfer,Bi-Weekly
126,59,Female,Hoodie,Clothing,27,Texas,S,Purple,Winter,3.6,No,Store Pickup,No,No,47,Cash,Fortnightly
127,60,Female,Boots,Footwear,36,Indiana,L,Purple,Winter,2.6,No,Store Pickup,No,No,4,Venmo,Fortnightly
128,31,Male,Jacket,Outerwear,88,South Dakota,S,Maroon,Spring,4.0,No,Express,No,No,41,Venmo,Bi-Weekly
129,48,Female,Handbag,Accessories,87,Idaho,M,Black,Fall,4.2,No,Free Shipping,Yes,Yes,13,Venmo,Every 3 Months
130,18,Male,Jacket,Outerwear,73,Montana,S,Green,Winter,3.4,No,2-Day Shipping,No,No,19,PayPal,Bi-Weekly
131,49,Male,Jewelry,Accessories,63,Iowa,S,Turquoise,Fall,4.2,No,Store Pickup,No,No,9,Credit Card,Bi-Weekly
132,23,Female,Coat,Outerwear,45,North Dakota,M,Maroon,Fall,4.0,No,Next Day Air,No,No,48,Bank Transfer,Monthly
133,60,Male,Socks,Clothing,42,Illinois,S,Green,Winter,4.7,Yes,Next Day Air,No,No,15,PayPal,Bi-Weekly
134,51,Male,Sunglasses,Accessories,87,Arizona,XL,Turquoise,Fall,3.3,No,Free Shipping,Yes,Yes,2,Venmo,Bi-Weekly
135,47,Male,Sandals,Footwear,93,Nebraska,M,Pink,Summer,2.8,No,Free Shipping,No,No,36,PayPal,Annually
136,18,Male,Gloves,Accessories,64,Maryland,S,Lavender,Summer,4.1,No,Standard,No,No,9,Cash,Fortnightly
137,59,Female,Scarf,Accessories,99,Indiana,M,White,Spring,4.3,No,Free Shipping,No,No,25,Cash,Quarterly
138,67,Male,Sandals,Footwear,68,Kansas,L,Gray,Summer,3.8,Yes,2-Day Shipping,Yes,Yes,15,Credit Card,Annually
139,27,Male,Shorts,Clothing,96,North Dakota,XL,Turquoise,Summer,4.2,No,Store Pickup,No,No,39,Venmo,Fortnightly
140,63,Male,Dress,Clothing,61,Alaska,M,Black,Fall,2.7,No,Next Day Air,No,No,9,Venmo,Quarterly
141,21,Male,Shirt,Clothing,79,Maine,L,Teal,Summer,4.1,No,Free Shipping,Yes,Yes,3,Bank Transfer,Annually
142,19,Female,Jeans,Clothing,21,Iowa,M,Maroon,Summer,3.7,Yes,Standard,Yes,Yes,36,Debit Card,Bi-Weekly
143,33,Male,Scarf,Accessories,49,Alabama,S,Peach,Fall,5.0,No,Store Pickup,Yes,Yes,45,PayPal,Quarterly
144,37,Female,Coat,Outerwear,84,New Jersey,M,Silver,Spring,2.7,No,Express,Yes,Yes,16,PayPal,Monthly
145,31,Male,Hoodie,Clothing,42,Maine,M,Maroon,Summer,3.1,No,Next Day Air,No,No,23,Cash,Annually
146,52,Female,Socks,Clothing,34,Nevada,M,Orange,Spring,3.8,No,Store Pickup,No,No,18,Debit Card,Quarterly
147,31,Female,Backpack,Accessories,99,Montana,M,Olive,Summer,3.5,Yes,Free Shipping,No,No,35,Cash,Monthly
148,27,Female,Hoodie,Clothing,44,South Carolina,XL,Black,Winter,4.0,No,2-Day Shipping,No,No,3,Credit Card,Fortnightly
149,70,Male,Shirt,Clothing,40,Idaho,M,Green,Fall,2.7,No,Standard,Yes,Yes,13,Bank Transfer,Annually
150,23,Male,Socks,Clothing,62,Maine,L,Brown,Summer,2.7,No,Free Shipping,Yes,Yes,25,Cash,Monthly
151,48,Female,Dress,Clothing,92,California,M,Turquoise,Winter,2.8,No,Next Day Air,No,No,7,PayPal,Fortnightly
152,57,Female,Sandals,Footwear,71,Ohio,M,Silver,Summer,4.3,No,Store Pickup,No,No,35,Credit Card,Annually
153,54,Male,Gloves,Accessories,24,Maine,S,Magenta,Spring,4.5,No,Free Shipping,No,No,39,Debit Card,Fortnightly
154,67,Male,Sunglasses,Accessories,72,North Carolina,S,White,Winter,2.8,No,2-Day Shipping,Yes,Yes,26,Bank Transfer,Annually
155,35,Male,Sweater,Clothing,71,Ohio,M,Magenta,Spring,4.7,No,Express,Yes,Yes,9,Venmo,Fortnightly
156,46,Male,Sweater,Clothing,77,Minnesota,M,Violet,Summer,4.1,No,Express,No,No,15,Venmo,Annually
157,36,Male,Boots,Footwear,63,Kentucky,M,Purple,Winter,2.6,No,Express,No,No,45,Credit Card,Quarterly
158,37,Female,Backpack,Accessories,77,Vermont,M,Violet,Fall,4.4,No,Standard,Yes,Yes,43,Cash,Bi-Weekly
159,49,Male,Sneakers,Footwear,29,Iowa,S,Peach,Fall,4.7,No,Express,No,No,9,Cash,Every 3 Months
160,53,Male,Socks,Clothing,97,South Dakota,L,Beige,Spring,4.7,No,Standard,Yes,Yes,12,Credit Card,Weekly
161,49,Female,Gloves,Accessories,51,Alaska,L,Violet,Spring,3.3,No,Express,No,No,25,Credit Card,Monthly
162,69,Male,Jewelry,Accessories,63,Alaska,M,Cyan,Fall,5.0,No,Store Pickup,Yes,Yes,39,Venmo,Annually
163,38,Female,Handbag,Accessories,40,Louisiana,L,Black,Summer,3.0,Yes,Store Pickup,No,No,22,Credit Card,Fortnightly
164,30,Male,Gloves,Accessories,48,Texas,L,Red,Summer,3.7,Yes,Standard,No,No,13,Bank Transfer,Quarterly
165,20,Male,Sneakers,Footwear,38,California,L,Pink,Fall,4.1,No,Free Shipping,No,No,16,Venmo,Annually
166,21,Male,Sneakers,Footwear,83,Maryland,L,Gold,Winter,4.3,No,Next Day Air,No,No,2,Venmo,Bi-Weekly
167,39,Female,Handbag,Accessories,77,Hawaii,L,Black,Winter,4.9,No,Next Day Air,No,No,16,Credit Card,Every 3 Months
168,36,Female,Boots,Footwear,23,Rhode Island,L,Indigo,Spring,4.0,No,2-Day Shipping,No,No,40,Debit Card,Weekly
169,62,Male,Shirt,Clothing,90,Rhode Island,M,Turquoise,Fall,2.8,Yes,Standard,Yes,Yes,4,Bank Transfer,Weekly
170,36,Male,Socks,Clothing,41,Colorado,M,Silver,Winter,4.5,No,2-Day Shipping,No,No,36,Bank Transfer,Every 3 Months
171,35,Male,Hat,Accessories,66,Arkansas,L,Yellow,Winter,2.9,No,Standard,No,No,48,Credit Card,Every 3 Months
172,28,Female,Shirt,Clothing,35,Oregon,M,Gold,Spring,2.9,No,Store Pickup,No,No,45,Bank Transfer,Fortnightly
173,36,Male,Sunglasses,Accessories,65,Indiana,L,Charcoal,Fall,4.5,No,2-Day Shipping,No,No,36,Bank Transfer,Weekly
174,56,Male,Sandals,Footwear,20,Colorado,L,Silver,Winter,2.9,No,Standard,Yes,Yes,31,PayPal,Fortnightly
175,41,Male,Sandals,Footwear,49,Nevada,M,Turquoise,Summer,4.8,Yes,Store Pickup,Yes,Yes,31,Cash,Fortnightly
176,26,Male,Sunglasses,Accessories,75,Illinois,S,Violet,Winter,3.4,No,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months
177,28,Female,Scarf,Accessories,34,Montana,M,Teal,Fall,3.2,No,Free Shipping,Yes,Yes,21,Cash,Bi-Weekly
178,54,Male,Jeans,Clothing,38,North Dakota,XL,Teal,Winter,3.0,Yes,2-Day Shipping,No,No,4,Cash,Fortnightly
179,50,Male,Shorts,Clothing,80,Idaho,M,Violet,Winter,4.5,No,Free Shipping,No,No,6,Bank Transfer,Monthly
180,38,Male,Sweater,Clothing,41,Maine,S,Peach,Fall,3.7,No,Standard,No,No,24,Bank Transfer,Annually
181,68,Female,Shoes,Footwear,83,Alaska,M,Orange,Spring,3.3,No,Store Pickup,No,No,15,Debit Card,Every 3 Months
182,31,Male,Gloves,Accessories,59,Tennessee,L,Maroon,Winter,2.7,No,Standard,Yes,Yes,33,Cash,Annually
183,69,Male,Jeans,Clothing,69,Illinois,L,Brown,Summer,3.0,No,Standard,Yes,Yes,28,Venmo,Annually
184,26,Male,Sneakers,Footwear,67,Minnesota,M,Orange,Spring,4.5,No,Next Day Air,No,No,45,Credit Card,Quarterly
185,55,Male,Socks,Clothing,20,Louisiana,L,Peach,Summer,3.3,No,Store Pickup,Yes,Yes,19,Venmo,Annually
186,33,Female,Dress,Clothing,40,New Jersey,L,White,Fall,4.7,No,Next Day Air,No,No,5,Venmo,Quarterly
187,37,Female,Blouse,Clothing,24,Kansas,M,Olive,Fall,4.8,Yes,Standard,Yes,Yes,44,Venmo,Quarterly
188,61,Male,Sweater,Clothing,22,Hawaii,M,Peach,Winter,2.8,Yes,Express,No,No,21,Credit Card,Annually
189,64,Male,Sweater,Clothing,94,California,M,Yellow,Winter,4.6,No,Next Day Air,Yes,Yes,35,Venmo,Annually
190,52,Female,Pants,Clothing,47,Nebraska,S,Orange,Fall,5.0,Yes,Next Day Air,Yes,Yes,4,Cash,Fortnightly
191,38,Male,Scarf,Accessories,72,New Hampshire,XL,Cyan,Summer,4.5,Yes,Free Shipping,Yes,Yes,33,Bank Transfer,Quarterly
192,51,Male,Boots,Footwear,57,New Hampshire,L,Purple,Spring,3.5,No,Store Pickup,Yes,Yes,20,Venmo,Fortnightly
193,43,Female,Coat,Outerwear,41,Oklahoma,XL,Turquoise,Spring,4.2,No,2-Day Shipping,No,No,7,Bank Transfer,Every 3 Months
194,36,Female,Handbag,Accessories,33,Iowa,S,White,Fall,3.2,Yes,Express,Yes,Yes,25,Bank Transfer,Quarterly
195,31,Female,Belt,Accessories,87,Rhode Island,L,Maroon,Winter,3.3,No,2-Day Shipping,Yes,Yes,49,Bank Transfer,Annually
196,63,Female,Jeans,Clothing,40,Oregon,M,Charcoal,Summer,3.7,No,Express,Yes,Yes,9,PayPal,Quarterly
197,49,Male,Hat,Accessories,64,California,M,Teal,Spring,3.6,No,Express,Yes,Yes,19,Cash,Annually
198,68,Male,Gloves,Accessories,48,Rhode Island,L,White,Spring,4.5,No,Standard,No,No,2,Cash,Quarterly
199,25,Male,Boots,Footwear,25,Nevada,M,Cyan,Winter,3.7,Yes,Next Day Air,No,No,42,Venmo,Fortnightly
200,57,Male,Sunglasses,Accessories,67,Florida,M,Lavender,Winter,2.5,Yes,Store Pickup,No,No,8,Credit Card,Annually
201,38,Male,Blouse,Clothing,83,Maryland,M,Olive,Winter,4.5,No,Express,Yes,Yes,24,Debit Card,Quarterly
202,56,Male,Shorts,Clothing,30,Oklahoma,M,Black,Winter,3.5,No,Standard,No,No,8,Debit Card,Bi-Weekly
203,65,Male,Sunglasses,Accessories,88,Louisiana,L,Black,Summer,4.3,No,Express,No,No,47,PayPal,Weekly
204,47,Female,Socks,Clothing,55,North Carolina,S,Green,Fall,3.9,No,Standard,Yes,Yes,15,Venmo,Every 3 Months
205,58,Male,Sweater,Clothing,70,Arkansas,M,Black,Spring,2.8,Yes,Standard,No,No,3,PayPal,Monthly
