customer_id,age,gender,item_purchased,category,purchase_amount_usd,state,size,color,season,satisfaction_score,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,observed_category,estimated_total_purchases,observed_promo_usage,frequency_proxy_days,gross_amount,discount_amount,estimated_cogs_40,net_margin_contribution,margin_cogs_30,margin_cogs_50,loyalty_def_A_behavioral,loyalty_def_B_organic_margin,strategic_segment
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,Footwear,27,1,14,42.5,8.5,17.0,12.0,16.25,7.75,False,False,3. Promo-Using Repeat
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,Clothing,11,1,14,85.0,17.0,34.0,29.0,37.5,20.5,False,False,3. Promo-Using Repeat
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly,Outerwear,38,1,14,90.0,18.0,36.0,31.0,40.0,22.0,False,False,3. Promo-Using Repeat
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly,Clothing,32,1,7,63.75,12.75,25.5,20.5,26.88,14.12,False,False,3. Promo-Using Repeat
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly,Outerwear,35,1,7,66.25,13.25,26.5,21.5,28.12,14.88,False,False,3. Promo-Using Repeat
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly,Clothing,9,1,30,101.25,20.25,40.5,35.5,45.62,25.38,False,False,2. High Spend Bargain Hunter
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,Accessories,45,1,14,45.0,9.0,18.0,13.0,17.5,8.5,False,False,3. Promo-Using Repeat
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,Clothing,37,1,90,47.5,9.5,19.0,14.0,18.75,9.25,False,False,3. Promo-Using Repeat
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly,Clothing,18,1,7,60.0,12.0,24.0,19.0,25.0,13.0,False,False,3. Promo-Using Repeat
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,Clothing,47,1,14,112.5,22.5,45.0,40.0,51.25,28.75,True,False,2. High Spend Bargain Hunter
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months,Clothing,51,1,90,63.75,12.75,25.5,20.5,26.88,14.12,False,False,3. Promo-Using Repeat
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,Clothing,23,1,90,77.5,15.5,31.0,26.0,33.75,18.25,False,False,3. Promo-Using Repeat
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually,Clothing,33,1,365,46.25,9.25,18.5,13.5,18.12,8.88,False,False,3. Promo-Using Repeat
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly,Clothing,41,1,7,110.0,22.0,44.0,39.0,50.0,28.0,True,False,2. High Spend Bargain Hunter
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly,Outerwear,17,1,7,27.5,5.5,11.0,6.0,8.75,3.25,False,False,3. Promo-Using Repeat
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually,Clothing,15,1,365,31.25,6.25,12.5,7.5,10.62,4.38,False,False,3. Promo-Using Repeat
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually,Accessories,14,1,365,25.0,5.0,10.0,5.0,7.5,2.5,False,False,3. Promo-Using Repeat
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,Clothing,8,1,90,70.0,14.0,28.0,23.0,30.0,16.0,False,False,3. Promo-Using Repeat
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,Accessories,42,1,90,117.5,23.5,47.0,42.0,53.75,30.25,True,False,2. High Spend Bargain Hunter
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly,Clothing,15,1,7,60.0,12.0,24.0,19.0,25.0,13.0,False,False,3. Promo-Using Repeat
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly,Accessories,17,1,30,38.75,7.75,15.5,10.5,14.38,6.62,False,False,3. Promo-Using Repeat
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly,Clothing,46,1,30,98.75,19.75,39.5,34.5,44.38,24.62,True,False,2. High Spend Bargain Hunter
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually,Outerwear,38,1,365,83.75,16.75,33.5,28.5,36.88,20.12,False,False,3. Promo-Using Repeat
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,Clothing,46,1,90,47.5,9.5,19.0,14.0,18.75,9.25,False,False,3. Promo-Using Repeat
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,Clothing,39,1,90,113.75,22.75,45.5,40.5,51.88,29.12,True,False,2. High Spend Bargain Hunter
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,Clothing,49,1,14,41.25,8.25,16.5,11.5,15.62,7.38,False,False,3. Promo-Using Repeat
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,Clothing,45,1,14,86.25,17.25,34.5,29.5,38.12,20.88,False,False,3. Promo-Using Repeat
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly,Clothing,11,1,7,56.25,11.25,22.5,17.5,23.12,11.88,False,False,3. Promo-Using Repeat
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,Clothing,45,1,90,46.25,9.25,18.5,13.5,18.12,8.88,False,False,3. Promo-Using Repeat
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly,Clothing,19,1,30,75.0,15.0,30.0,25.0,32.5,17.5,False,False,3. Promo-Using Repeat
41,58,Female,Hoodie,Clothing,22,Delaware,M,Cyan,Winter,4.7,Yes,Store Pickup,Yes,Yes,44,Debit Card,Bi-Weekly,Clothing,45,1,14,27.5,5.5,11.0,6.0,8.75,3.25,False,False,3. Promo-Using Repeat
42,38,Female,Scarf,Accessories,55,Kansas,L,Red,Summer,4.1,No,Express,No,No,3,Venmo,Quarterly,Accessories,4,0,90,55.0,0.0,22.0,28.0,33.5,22.5,False,False,4. Mid-Tier Core
43,33,Female,Skirt,Clothing,95,Colorado,M,Purple,Spring,3.0,No,Free Shipping,No,No,50,PayPal,Annually,Clothing,51,0,365,95.0,0.0,38.0,52.0,61.5,42.5,True,True,1. High Value Organic
44,44,Female,Sneakers,Footwear,36,West Virginia,M,Orange,Winter,4.2,Yes,Store Pickup,No,No,35,Debit Card,Monthly,Footwear,36,0,30,36.0,0.0,14.4,16.6,20.2,13.0,False,False,4. Mid-Tier Core
45,22,Male,Socks,Clothing,85,Missouri,XL,Red,Summer,2.6,Yes,Express,Yes,Yes,1,Cash,Every 3 Months,Clothing,2,1,90,106.25,21.25,42.5,37.5,48.12,26.88,False,False,2. High Spend Bargain Hunter
46,43,Male,Hat,Accessories,78,Arizona,M,Gray,Spring,2.6,Yes,2-Day Shipping,Yes,Yes,48,Bank Transfer,Annually,Accessories,49,1,365,97.5,19.5,39.0,34.0,43.75,24.25,False,False,3. Promo-Using Repeat
47,22,Female,Hat,Accessories,72,California,L,Charcoal,Spring,4.6,Yes,Store Pickup,No,No,9,Bank Transfer,Fortnightly,Accessories,10,0,14,72.0,0.0,28.8,38.2,45.4,31.0,False,False,4. Mid-Tier Core
48,21,Male,Jacket,Outerwear,51,Idaho,M,Purple,Summer,4.2,No,Store Pickup,Yes,Yes,3,Credit Card,Weekly,Outerwear,4,1,7,63.75,12.75,25.5,20.5,26.88,14.12,False,False,3. Promo-Using Repeat
49,61,Male,Skirt,Clothing,76,Mississippi,S,Green,Summer,4.4,No,Free Shipping,No,No,11,Credit Card,Every 3 Months,Clothing,12,0,90,76.0,0.0,30.4,40.6,48.2,33.0,False,False,1. High Value Organic
50,51,Male,Shirt,Clothing,49,New York,M,Maroon,Fall,3.9,No,Standard,No,No,30,Cash,Quarterly,Clothing,31,0,90,49.0,0.0,19.6,24.4,29.3,19.5,False,False,4. Mid-Tier Core
51,21,Male,Hat,Accessories,36,Missouri,L,Orange,Fall,2.6,No,Free Shipping,No,No,13,Bank Transfer,Quarterly,Accessories,14,0,90,36.0,0.0,14.4,16.6,20.2,13.0,False,False,4. Mid-Tier Core
52,68,Male,Dress,Clothing,42,Alabama,S,Yellow,Fall,4.1,Yes,Express,Yes,Yes,3,Credit Card,Quarterly,Clothing,4,1,90,52.5,10.5,21.0,16.0,21.25,10.75,False,False,3. Promo-Using Repeat
53,68,Male,Socks,Clothing,24,North Carolina,M,Yellow,Winter,3.9,No,Standard,No,No,26,Bank Transfer,Weekly,Clothing,27,0,7,24.0,0.0,9.6,9.4,11.8,7.0,False,False,4. Mid-Tier Core
54,62,Male,Hat,Accessories,45,Nevada,S,Violet,Summer,3.4,Yes,Standard,No,No,1,Venmo,Quarterly,Accessories,2,0,90,45.0,0.0,18.0,22.0,26.5,17.5,False,False,4. Mid-Tier Core
55,39,Male,Hoodie,Clothing,47,California,M,Maroon,Winter,2.7,Yes,Next Day Air,Yes,Yes,7,Credit Card,Every 3 Months,Clothing,8,1,90,58.75,11.75,23.5,18.5,24.38,12.62,False,False,3. Promo-Using Repeat
56,64,Male,Boots,Footwear,37,Iowa,M,Green,Fall,3.2,No,Free Shipping,No,No,39,Venmo,Fortnightly,Footwear,40,0,14,37.0,0.0,14.8,17.2,20.9,13.5,False,False,4. Mid-Tier Core
57,61,Male,Shorts,Clothing,32,Florida,M,Gold,Summer,4.1,No,Standard,Yes,Yes,47,Bank Transfer,Weekly,Clothing,48,1,7,40.0,8.0,16.0,11.0,15.0,7.0,False,False,3. Promo-Using Repeat
58,66,Male,Scarf,Accessories,61,South Dakota,M,Orange,Spring,4.0,Yes,Next Day Air,No,No,45,Bank Transfer,Bi-Weekly,Accessories,46,0,14,61.0,0.0,24.4,31.6,37.7,25.5,False,False,1. High Value Organic
59,39,Male,Jewelry,Accessories,89,Rhode Island,L,Indigo,Summer,4.6,Yes,2-Day Shipping,Yes,Yes,36,Bank Transfer,Weekly,Accessories,37,1,7,111.25,22.25,44.5,39.5,50.62,28.38,True,False,2. High Spend Bargain Hunter
60,21,Male,Hoodie,Clothing,70,Maine,M,Purple,Spring,3.2,No,Store Pickup,No,No,26,Bank Transfer,Annually,Clothing,27,0,365,70.0,0.0,28.0,37.0,44.0,30.0,False,False,1. High Value Organic
61,37,Male,Jacket,Outerwear,66,Kentucky,M,Silver,Winter,3.8,No,2-Day Shipping,Yes,Yes,43,Credit Card,Fortnightly,Outerwear,44,1,14,82.5,16.5,33.0,28.0,36.25,19.75,False,False,3. Promo-Using Repeat
62,27,Male,Shirt,Clothing,29,Maine,M,Maroon,Fall,3.1,No,Express,Yes,Yes,9,Credit Card,Every 3 Months,Clothing,10,1,90,36.25,7.25,14.5,9.5,13.12,5.88,False,False,3. Promo-Using Repeat
63,52,Male,Backpack,Accessories,68,Oregon,L,Teal,Spring,2.8,No,Express,No,No,34,PayPal,Quarterly,Accessories,35,0,90,68.0,0.0,27.2,35.8,42.6,29.0,False,False,1. High Value Organic
64,39,Male,Jeans,Clothing,91,Arkansas,L,Black,Fall,2.9,Yes,2-Day Shipping,No,No,19,Credit Card,Monthly,Clothing,20,0,30,91.0,0.0,36.4,49.6,58.7,40.5,False,True,1. High Value Organic
65,59,Male,Sandals,Footwear,59,Louisiana,M,Black,Fall,3.7,No,Express,Yes,Yes,25,Venmo,Fortnightly,Footwear,26,1,14,73.75,14.75,29.5,24.5,31.88,17.12,False,False,3. Promo-Using Repeat
66,31,Male,Scarf,Accessories,70,Nebraska,S,Silver,Summer,4.1,No,Standard,Yes,Yes,15,Debit Card,Fortnightly,Accessories,16,1,14,87.5,17.5,35.0,30.0,38.75,21.25,False,False,3. Promo-Using Repeat
67,44,Female,Hoodie,Clothing,57,South Carolina,L,Beige,Winter,2.6,No,Free Shipping,No,No,5,Credit Card,Weekly,Clothing,6,0,7,57.0,0.0,22.8,29.2,34.9,23.5,False,False,4. Mid-Tier Core
68,30,Male,Blouse,Clothing,71,New York,L,Charcoal,Winter,3.1,No,Free Shipping,Yes,Yes,27,Credit Card,Quarterly,Clothing,28,1,90,88.75,17.75,35.5,30.5,39.38,21.62,False,False,3. Promo-Using Repeat
69,60,Male,Sandals,Footwear,39,Arkansas,XL,Purple,Spring,3.1,No,Free Shipping,No,No,46,Credit Card,Annually,Footwear,47,0,365,39.0,0.0,15.6,18.4,22.3,14.5,False,False,4. Mid-Tier Core
70,35,Male,Sunglasses,Accessories,79,Illinois,XL,White,Fall,4.2,No,Free Shipping,Yes,Yes,49,PayPal,Every 3 Months,Accessories,50,1,90,98.75,19.75,39.5,34.5,44.38,24.62,True,False,2. High Spend Bargain Hunter
71,46,Male,Handbag,Accessories,60,Nevada,XL,Gray,Spring,3.1,Yes,Standard,Yes,Yes,23,Venmo,Fortnightly,Accessories,24,1,14,75.0,15.0,30.0,25.0,32.5,17.5,False,False,3. Promo-Using Repeat
72,57,Male,Gloves,Accessories,66,West Virginia,L,Gold,Fall,4.5,No,Next Day Air,No,No,25,Cash,Quarterly,Accessories,26,0,90,66.0,0.0,26.4,34.6,41.2,28.0,False,False,1. High Value Organic
73,35,Male,Shirt,Clothing,36,Illinois,S,Brown,Spring,2.9,No,Store Pickup,Yes,Yes,24,Venmo,Fortnightly,Clothing,25,1,14,45.0,9.0,18.0,13.0,17.5,8.5,False,False,3. Promo-Using Repeat
74,45,Male,Dress,Clothing,68,Montana,XL,Olive,Winter,3.9,No,2-Day Shipping,No,No,40,Venmo,Every 3 Months,Clothing,41,0,90,68.0,0.0,27.2,35.8,42.6,29.0,False,False,1. High Value Organic
75,47,Female,Blouse,Clothing,75,Oklahoma,M,Cyan,Winter,3.4,No,Next Day Air,Yes,Yes,18,Venmo,Monthly,Clothing,19,1,30,93.75,18.75,37.5,32.5,41.88,23.12,False,False,3. Promo-Using Repeat
76,19,Male,Jacket,Outerwear,57,Rhode Island,M,Beige,Summer,4.4,No,Next Day Air,No,No,46,Cash,Annually,Outerwear,47,0,365,57.0,0.0,22.8,29.2,34.9,23.5,False,False,1. High Value Organic
77,45,Female,Blouse,Clothing,26,Ohio,M,Beige,Summer,3.1,No,2-Day Shipping,Yes,Yes,8,Bank Transfer,Fortnightly,Clothing,9,1,14,32.5,6.5,13.0,8.0,11.25,4.75,False,False,3. Promo-Using Repeat
78,68,Male,Scarf,Accessories,27,Idaho,L,Indigo,Spring,4.0,No,Standard,No,No,37,Bank Transfer,Bi-Weekly,Accessories,38,0,14,27.0,0.0,10.8,11.2,13.9,8.5,False,False,4. Mid-Tier Core
79,65,Male,Dress,Clothing,93,Montana,L,Magenta,Summer,2.8,No,2-Day Shipping,Yes,Yes,18,Cash,Fortnightly,Clothing,19,1,14,116.25,23.25,46.5,41.5,53.12,29.88,False,False,2. High Spend Bargain Hunter
80,28,Male,Scarf,Accessories,21,Massachusetts,M,Teal,Fall,4.1,No,Store Pickup,No,No,9,Cash,Bi-Weekly,Accessories,10,0,14,21.0,0.0,8.4,7.6,9.7,5.5,False,False,4. Mid-Tier Core
81,39,Female,Skirt,Clothing,100,Missouri,M,Black,Summer,4.5,No,Next Day Air,Yes,Yes,17,Bank Transfer,Fortnightly,Clothing,18,1,14,125.0,25.0,50.0,45.0,57.5,32.5,False,False,2. High Spend Bargain Hunter
82,42,Male,Coat,Outerwear,41,Illinois,M,Lavender,Spring,3.2,Yes,Free Shipping,No,No,21,Cash,Annually,Outerwear,22,0,365,41.0,0.0,16.4,19.6,23.7,15.5,False,False,4. Mid-Tier Core
83,34,Male,Handbag,Accessories,95,California,S,Yellow,Winter,3.2,Yes,Next Day Air,Yes,Yes,40,Cash,Annually,Accessories,41,1,365,118.75,23.75,47.5,42.5,54.38,30.62,True,False,2. High Spend Bargain Hunter
84,24,Male,Sunglasses,Accessories,36,Indiana,M,Black,Fall,3.4,No,Express,No,No,36,Credit Card,Weekly,Accessories,37,0,7,36.0,0.0,14.4,16.6,20.2,13.0,False,False,4. Mid-Tier Core
85,28,Male,Belt,Accessories,78,Nebraska,M,Yellow,Spring,3.5,No,Store Pickup,No,No,5,Venmo,Weekly,Accessories,6,0,7,78.0,0.0,31.2,41.8,49.6,34.0,False,False,4. Mid-Tier Core
86,36,Male,Sandals,Footwear,100,Illinois,M,Maroon,Winter,3.4,No,Express,No,No,25,Debit Card,Quarterly,Footwear,26,0,90,100.0,0.0,40.0,55.0,65.0,45.0,True,True,1. High Value Organic
87,56,Male,Coat,Outerwear,63,New Jersey,S,Teal,Summer,3.3,No,Express,No,No,17,Cash,Fortnightly,Outerwear,18,0,14,63.0,0.0,25.2,32.8,39.1,26.5,False,False,1. High Value Organic
88,29,Male,Boots,Footwear,27,Vermont,L,Beige,Winter,4.2,No,Express,No,No,18,Venmo,Annually,Footwear,19,0,365,27.0,0.0,10.8,11.2,13.9,8.5,False,False,4. Mid-Tier Core
89,58,Female,Scarf,Accessories,66,Alaska,L,Pink,Winter,3.0,No,Free Shipping,No,No,7,Bank Transfer,Every 3 Months,Accessories,8,0,90,66.0,0.0,26.4,34.6,41.2,28.0,False,False,4. Mid-Tier Core
90,68,Female,Belt,Accessories,78,California,L,Orange,Summer,3.6,No,Express,No,No,14,Credit Card,Annually,Accessories,15,0,365,78.0,0.0,31.2,41.8,49.6,34.0,False,False,1. High Value Organic
91,54,Male,Sunglasses,Accessories,74,California,S,Green,Fall,3.8,No,Express,Yes,Yes,13,Cash,Fortnightly,Accessories,14,1,14,92.5,18.5,37.0,32.0,41.25,22.75,False,False,3. Promo-Using Repeat
92,61,Male,Pants,Clothing,74,Kansas,L,Beige,Winter,3.8,No,Next Day Air,Yes,Yes,39,Bank Transfer,Annually,Clothing,40,1,365,92.5,18.5,37.0,32.0,41.25,22.75,False,False,3. Promo-Using Repeat
93,70,Male,Hat,Accessories,35,Missouri,S,Pink,Fall,4.3,Yes,Next Day Air,Yes,Yes,45,Bank Transfer,Monthly,Accessories,46,1,30,43.75,8.75,17.5,12.5,16.88,8.12,False,False,3. Promo-Using Repeat
94,54,Male,Socks,Clothing,84,New York,M,Cyan,Winter,4.2,Yes,Free Shipping,Yes,Yes,37,Debit Card,Bi-Weekly,Clothing,38,1,14,105.0,21.0,42.0,37.0,47.5,26.5,True,False,2. High Spend Bargain Hunter
95,56,Female,Dress,Clothing,65,Colorado,M,Lavender,Spring,2.9,No,Next Day Air,No,No,8,PayPal,Bi-Weekly,Clothing,9,0,14,65.0,0.0,26.0,34.0,40.5,27.5,False,False,4. Mid-Tier Core
96,62,Male,Gloves,Accessories,76,Indiana,S,Turquoise,Fall,3.4,Yes,Express,No,No,9,Credit Card,Annually,Accessories,10,0,365,76.0,0.0,30.4,40.6,48.2,33.0,False,False,4. Mid-Tier Core
97,59,Male,Hat,Accessories,81,Mississippi,S,Turquoise,Spring,4.1,No,Express,Yes,Yes,9,PayPal,Monthly,Accessories,10,1,30,101.25,20.25,40.5,35.5,45.62,25.38,False,False,2. High Spend Bargain Hunter
98,58,Male,Sneakers,Footwear,48,West Virginia,S,Maroon,Fall,2.6,No,Express,Yes,Yes,5,Credit Card,Quarterly,Footwear,6,1,90,60.0,12.0,24.0,19.0,25.0,13.0,False,False,3. Promo-Using Repeat
99,32,Male,Sweater,Clothing,24,Indiana,M,Charcoal,Fall,2.8,No,2-Day Shipping,Yes,Yes,17,Cash,Bi-Weekly,Clothing,18,1,14,30.0,6.0,12.0,7.0,10.0,4.0,False,False,3. Promo-Using Repeat
100,57,Male,Jacket,Outerwear,96,South Carolina,L,Brown,Fall,4.1,No,Next Day Air,No,No,48,Venmo,Bi-Weekly,Outerwear,49,0,14,96.0,0.0,38.4,52.6,62.2,43.0,True,True,1. High Value Organic
101,70,Female,Dress,Clothing,82,Arizona,L,Pink,Winter,4.7,No,Next Day Air,Yes,Yes,31,Cash,Weekly,Clothing,32,1,7,102.5,20.5,41.0,36.0,46.25,25.75,True,False,2. High Spend Bargain Hunter
102,56,Male,Dress,Clothing,21,New Hampshire,L,Teal,Summer,3.0,Yes,Next Day Air,Yes,Yes,49,Venmo,Fortnightly,Clothing,50,1,14,26.25,5.25,10.5,5.5,8.12,2.88,False,False,3. Promo-Using Repeat
103,41,Female,Coat,Outerwear,89,Oklahoma,L,Gold,Winter,4.9,No,Standard,Yes,Yes,15,Bank Transfer,Bi-Weekly,Outerwear,16,1,14,111.25,22.25,44.5,39.5,50.62,28.38,False,False,2. High Spend Bargain Hunter
104,49,Female,Gloves,Accessories,87,Arizona,S,Teal,Spring,4.3,No,Store Pickup,No,No,26,Credit Card,Weekly,Accessories,27,0,7,87.0,0.0,34.8,47.2,55.9,38.5,True,True,1. High Value Organic
105,64,Female,Socks,Clothing,55,Kansas,M,Teal,Summer,2.7,No,Next Day Air,No,No,11,Cash,Every 3 Months,Clothing,12,0,90,55.0,0.0,22.0,28.0,33.5,22.5,False,False,1. High Value Organic
106,46,Female,Sweater,Clothing,32,South Dakota,S,Beige,Winter,4.2,Yes,Free Shipping,Yes,Yes,47,Bank Transfer,Annually,Clothing,48,1,365,40.0,8.0,16.0,11.0,15.0,7.0,False,False,3. Promo-Using Repeat
107,20,Female,Gloves,Accessories,75,Tennessee,L,Green,Fall,4.6,No,Next Day Air,Yes,Yes,5,Credit Card,Quarterly,Accessories,6,1,90,93.75,18.75,37.5,32.5,41.88,23.12,False,False,3. Promo-Using Repeat
108,55,Male,Blouse,Clothing,80,Kansas,S,Indigo,Fall,3.9,No,Next Day Air,Yes,Yes,8,PayPal,Monthly,Clothing,9,1,30,100.0,20.0,40.0,35.0,45.0,25.0,False,False,2. High Spend Bargain Hunter
109,70,Male,Jewelry,Accessories,46,Montana,M,Teal,Winter,4.8,No,Standard,No,No,46,Venmo,Monthly,Accessories,47,0,30,46.0,0.0,18.4,22.6,27.2,18.0,False,False,4. Mid-Tier Core
110,61,Male,Dress,Clothing,28,Iowa,M,Yellow,Spring,3.3,No,Next Day Air,No,No,13,Venmo,Bi-Weekly,Clothing,14,0,14,28.0,0.0,11.2,11.8,14.6,9.0,False,False,4. Mid-Tier Core
111,35,Male,Socks,Clothing,57,Alaska,L,Gray,Fall,4.4,Yes,Store Pickup,No,No,24,Venmo,Fortnightly,Clothing,25,0,14,57.0,0.0,22.8,29.2,34.9,23.5,False,False,1. High Value Organic
112,49,Male,Skirt,Clothing,73,Nevada,M,Gray,Spring,4.4,No,Express,No,No,2,Venmo,Fortnightly,Clothing,3,0,14,73.0,0.0,29.2,38.8,46.1,31.5,False,False,4. Mid-Tier Core
113,50,Female,Handbag,Accessories,45,Nevada,M,Silver,Summer,3.0,No,Free Shipping,Yes,Yes,42,PayPal,Fortnightly,Accessories,43,1,14,56.25,11.25,22.5,17.5,23.12,11.88,False,False,3. Promo-Using Repeat
